List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,DOB,Age,Specialism,Batting sytle,Player description,Previous IPLTeam(s),Team 2024,Total IPL played,C/U/A,Price Rs Lakh
20,4,AL1,Ravichandaran,Ashwin,India,17-09-1986,38,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,"CSK,RPS,PBKS,DC,RR",RR,15,Capped,200
21,4,AL1,Venkatesh,Iyer,India,25-12-1994,30,ALL-ROUNDER,LHB,RIGHT ARM Medium,KKR,KKR,15,Capped,200
22,4,AL1,Mitchell,Marsh,Australia,20-10-1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast,"DCH,PWI,RPS,SRH,DC",DC,4,Capped,200
23,4,AL1,Glenn,Maxwell,Australia,14-10-1988,36,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,"DC,MI,PBKS,RCB",RCB,10,Capped,200
24,4,AL1,Harshal,Patel,India,23-11-1990,34,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,"DC,RCB,PBKS",PBKS,14,Capped,200
25,4,AL1,Rachin,Ravindra,New Zealand,18-11-1999,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,CSK,CSK,10,Capped,150
26,4,AL1,Marcus,Stoinis,Australia,16-08-1989,35,ALL-ROUNDER,RHB,RIGHT ARM Fast,"PBKS,RCB,DC,LSG",LSG,14,Capped,200
27,5,WK1,Jonny,Bairstow,England,26-09-1989,35,WICKETKEEPER,RHB,RIGHT ARM Medium,"SRH,PBKS",PBKS,11,Capped,200
28,5,WK1,Quinton,De Kock,South Africa,17-12-1992,32,WICKETKEEPER,LHB,,"SRH,DC,RCB,MI,LSG",LSG,11,Capped,200
29,5,WK1,Rahmanullah,Gurbaz,Afghanistan,28-11-2001,23,WICKETKEEPER,RHB,,"GT, KKR",KKR,3,Capped,200
30,5,WK1,Ishan,Kishan,India,18-07-1998,26,WICKETKEEPER,LHB,,"GL,MI",MI,14,Capped,200
31,5,WK1,Phil,Salt,England,28-08-1996,28,WICKETKEEPER,RHB,,"DC,KKR",KKR,12,Capped,200
32,5,WK1,Jitesh,Sharma,India,22-10-1993,31,WICKETKEEPER,RHB,,"MI,PBKS",PBKS,14,Capped,100
33,6,FA1,Syed Khaleel,Ahmed,India,05-12-1997,27,BOWLER,RHB,LEFT ARM Fast Medium,"SRH,DC",DC,14,Capped,200
34,6,FA1,Trent,Boult,New Zealand,22-07-1989,35,BOWLER,RHB,LEFT ARM Fast Medium,"SRH,DC,MI,RR",RR,16,Capped,200
35,6,FA1,Josh,Hazlewood,Australia,08-01-1991,34,BOWLER,LHB,RIGHT ARM Fast Medium,"CSK,RCB",,,Capped,200
36,6,FA1,Avesh,Khan,India,13-12-1996,28,BOWLER,RHB,RIGHT ARM Fast,"RCB,DC,LSG,RR",RR,16,Capped,200
37,6,FA1,Prasidh,Krishna,India,19-02-1996,29,BOWLER,RHB,RIGHT ARM Fast,"KKR,RR",RR,0,Capped,200
38,6,FA1,T.,Natarajan,India,27-05-1991,33,BOWLER,LHB,LEFT ARM Fast Medium,"PBKS,SRH",SRH,14,Capped,200
39,6,FA1,Anrich,Nortje,South Africa,16-11-1993,31,BOWLER,RHB,RIGHT ARM Fast,DC,DC,6,Capped,200
40,7,SP1,Noor,Ahmad,Afghanistan,03-01-2005,20,BOWLER,RHB,LEFT ARM Slow Unorthodox,GT,GT,10,Capped,200
41,7,SP1,Rahul,Chahar,India,04-08-1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,"RPS,MI,PBKS",PBKS,9,Capped,100
42,7,SP1,Wanindu,Hasaranga,Sri Lanka,29-07-1997,27,BOWLER,RHB,RIGHT ARM Leg Spin,"RCB,SRH",SRH,0,Capped,200
43,7,SP1,Waqar,Salamkheil,Afghanistan,02-10-2001,23,BOWLER,RHB,LEFT ARM Slow Unorthodox,,,,Capped,75
44,7,SP1,Maheesh,Theekshana,Sri Lanka,01-08-2000,24,BOWLER,RHB,RIGHT ARM Off Spin,CSK,CSK,5,Capped,200
45,7,SP1,Adam,Zampa,Australia,31-12-1992,32,BOWLER,RHB,RIGHT ARM Leg Spin,"RPS,RCB,RR",RR,0,Capped,200
46,8,UBA1,Yash,Dhull,India,11-11-2002,22,BATTER,RHB,,DC,DC,0,Uncapped,30
47,8,UBA1,Abhinav,Manohar,India,16-09-1994,30,BATTER,RHB,RIGHT ARM Leg Spin,GT,GT,2,Uncapped,30
48,8,UBA1,Karun,Nair,India,06-12-1991,33,BATTER,RHB,RIGHT ARM Off Spin,"RCB,RR,DD,PBKS,LSG",,,Uncapped,30
49,8,UBA1,Angkrish,Raghuvanshi,India,05-06-2004,20,BATTER,RHB,RIGHT ARM Off Spin,KKR,KKR,10,Uncapped,30
50,8,UBA1,Anmolpreet,Singh,India,28-03-1998,27,BATTER,RHB,RIGHT ARM Off Spin,"MI,SRH",SRH,2,Uncapped,30
51,8,UBA1,Atharva,Taide,India,26-04-2000,24,BATTER,LHB,LEFT ARM Slow Orthodox,PBKS,PBKS,2,Uncapped,30
52,8,UBA1,Nehal,Wadhera,India,04-09-2000,24,BATTER,LHB,RIGHT ARM Leg Spin,MI,MI,6,Uncapped,30
53,9,UAL1,Harpreet,Brar,India,16-09-1995,29,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,PBKS,PBKS,13,Uncapped,30
54,9,UAL1,Naman,Dhir,India,31-12-1999,25,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,MI,MI,7,Uncapped,30
55,9,UAL1,Mahipal,Lomror,India,16-11-1999,25,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,"RR,RCB",RCB,10,Uncapped,50
56,9,UAL1,Sameer,Rizvi,India,06-12-2003,21,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,CSK,CSK,9,Uncapped,30
57,9,UAL1,Abdul,Samad,India,28-10-2001,23,ALL-ROUNDER,RHB,RIGHT ARM Leg Spin,SRH,SRH,16,Uncapped,30
58,9,UAL1,Vijay,Shankar,India,26-01-1991,34,ALL-ROUNDER,RHB,RIGHT ARM Medium,"CSK,DC,SRH,GT",GT,7,Uncapped,30
59,9,UAL1,Ashutosh,Sharma,India,15-09-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Medium,PBKS,PBKS,11,Uncapped,30
60,9,UAL1,Nishant,Sindhu,India,09-04-2004,20,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,CSK,CSK,0,Uncapped,30
61,9,UAL1,Utkarsh,Singh,India,07-05-1998,26,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,PBKS,,,Uncapped,30
62,10,UWK1,Aryan,Juyal,India,11-11-2001,23,WICKETKEEPER,RHB,RIGHT ARM Off Spin,MI,,,Uncapped,30
63,10,UWK1,Kumar,Kushagra,India,23-10-2004,20,WICKETKEEPER,RHB,,GT,GT,0,Uncapped,30
64,10,UWK1,Robin,Minz,India,13-09-2002,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,GT,GT,0,Uncapped,30
65,10,UWK1,Anuj,Rawat,India,17-10-1999,25,WICKETKEEPER,LHB,RIGHT ARM Leg Spin,"RR,RCB",RCB,5,Uncapped,30
66,10,UWK1,Luvnith,Sisodia,India,15-01-2000,25,WICKETKEEPER,LHB,,RCB,,,Uncapped,30
67,10,UWK1,Vishnu,Vinod,India,02-12-1993,31,WICKETKEEPER,RHB,,"RCB,DC,SRH,MI",MI,0,Uncapped,30
68,10,UWK1,Upendra Singh,Yadav,India,08-10-1996,28,WICKETKEEPER,RHB,,SRH,SRH,0,Uncapped,30
69,11,UFA1,Vaibhav,Arora,India,14-12-1997,27,BOWLER,RHB,RIGHT ARM Fast Medium,"PBKS,KKR",KKR,10,Uncapped,30
70,11,UFA1,Rasikh,Dar,India,05-04-2000,25,BOWLER,RHB,RIGHT ARM Fast Medium,"MI,,KKR,DC",DC,8,Uncapped,30
71,11,UFA1,Akash,Madhwal,India,25-11-1993,31,BOWLER,RHB,RIGHT ARM Fast,MI,MI,5,Uncapped,30
72,11,UFA1,Mohit,Sharma,India,18-09-1988,36,BOWLER,RHB,RIGHT ARM Fast,"CSK,PBKS,DC,GT",GT,12,Uncapped,50
73,11,UFA1,Simarjeet,Singh,India,17-01-1998,27,BOWLER,RHB,RIGHT ARM Fast,CSK,CSK,4,Uncapped,30
74,11,UFA1,Yash,Thakur,India,28-12-1998,26,BOWLER,RHB,RIGHT ARM Fast Medium,LSG,LSG,10,Uncapped,30
75,11,UFA1,Kartik,Tyagi,India,08-11-2000,24,BOWLER,RHB,RIGHT ARM Fast,"RR,SRH,GT",GT,1,Uncapped,40
76,11,UFA1,Vyshak,Vijaykumar,India,31-01-1997,28,BOWLER,RHB,RIGHT ARM Fast Medium,RCB,RCB,4,Uncapped,30
77,12,USP1,Piyush,Chawla,India,24-12-1988,36,BOWLER,LHB,RIGHT ARM Leg Spin,"PBKS,KKR,CSK,MI",MI,11,Uncapped,50
78,12,USP1,Shreyas,Gopal,India,04-09-1993,31,BOWLER,RHB,RIGHT ARM Leg Spin,"RR,SRH,MI",MI,3,Uncapped,30
79,12,USP1,Mayank,Markande,India,11-11-1997,27,BOWLER,RHB,RIGHT ARM Leg Spin,"MI,RR,SRH",SRH,7,Uncapped,30
80,12,USP1,Suyash,Sharma,India,15-05-2003,21,BOWLER,RHB,RIGHT ARM Leg Spin,KKR,KKR,2,Uncapped,30
81,12,USP1,Karn,Sharma,India,23-10-1987,37,BOWLER,LHB,RIGHT ARM Leg Spin,"SRH,MI,CSK,RCB",RCB,9,Uncapped,50
82,12,USP1,Kumar Kartikeya,Singh,India,26-12-1997,27,BOWLER,RHB,LEFT ARM Slow Orthodox,MI,MI,0,Uncapped,30
83,12,USP1,Manav,Suthar,India,03-08-2002,22,BOWLER,LHB,LEFT ARM Slow Orthodox,GT,GT,0,Uncapped,30
84,13,BA2,Mayank,Agarawal,India,16-02-1991,34,BATTER,RHB,RIGHT ARM Off Spin,"RCB,DC,RPS,PBKS,SRH",SRH,4,Capped,100
85,13,BA2,Faf,Du Plessis,South Africa,13-07-1984,40,BATTER,RHB,,"CSK,RPS,RCB",RCB,15,Capped,200
86,13,BA2,Glenn,Phillips,New Zealand,06-12-1996,28,BATTER,RHB,RIGHT ARM Off Spin,"RR,SRH",SRH,0,Capped,200
87,13,BA2,Rovman,Powell,West Indies,23-07-1993,31,BATTER,RHB,RIGHT ARM Fast Medium,"KKR,DC,RR",RR,10,Capped,150
88,13,BA2,Ajinkya,Rahane,India,06-06-1988,36,BATTER,RHB,,"MI,RPS,RR,DC,KKR,SRH",CSK,13,Capped,150
89,13,BA2,Prithvi,Shaw,India,09-11-1999,25,BATTER,RHB,,DC,DC,8,Capped,75
90,13,BA2,Kane,Williamson,New Zealand,08-08-1990,34,BATTER,RHB,,"SRH,GT",GT,2,Capped,200
91,14,AL2,Sam,Curran,England,03-06-1998,26,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,"CSK,PBKS",PBKS,13,Capped,200
92,14,AL2,Marco,Jansen,South Africa,01-05-2000,24,ALL-ROUNDER,RHB,LEFT ARM Fast,"MI,SRH",SRH,3,Capped,125
93,14,AL2,Daryl,Mitchell,New Zealand,20-05-1991,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,"RR,CSK",CSK,12,Capped,200
94,14,AL2,Krunal,Pandya,India,24-03-1991,34,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,"MI,LSG",LSG,14,Capped,200
95,14,AL2,Nitish,Rana,India,27-12-1993,31,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,"MI,KKR",KKR,2,Capped,150
96,14,AL2,Washington,Sundar,India,05-10-1999,25,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,"RPS,RCB,SRH",SRH,2,Capped,200
97,14,AL2,Shardul,Thakur,India,16-10-1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,"PBKS,RPS,DC,KKR,CSK",CSK,9,Capped,200
98,15,WK2,K.S,Bharat,India,03-10-1993,31,WICKETKEEPER,RHB,,"RCB,DC,GT,KKR",KKR,0,Capped,75
99,15,WK2,Alex,Carey,Australia,27-08-1991,33,WICKETKEEPER,LHB,,DC,,,Capped,100
100,15,WK2,Donovan,Ferreira,South Africa,21-07-1998,26,WICKETKEEPER,RHB,RIGHT ARM Off Spin,RR,RR,2,Capped,75
101,15,WK2,Shai,Hope,West Indies,10-11-1993,31,WICKETKEEPER,RHB,,DC,DC,9,Capped,125
102,15,WK2,Josh,Inglis,Australia,04-03-1995,30,WICKETKEEPER,RHB,,,,,Capped,200
103,15,WK2,Ryan,Rickelton,South Africa,11-07-1996,28,WICKETKEEPER,LHB,,,,,Capped,100
104,16,FA2,Deepak,Chahar,India,07-08-1992,32,BOWLER,RHB,RIGHT ARM Fast Medium,"RPS,CSK",CSK,8,Capped,200
105,16,FA2,Gerald,Coetzee,South Africa,02-10-2000,24,BOWLER,RHB,RIGHT ARM Fast,MI,Mi,10,Capped,125
106,16,FA2,Akash,Deep,India,15-12-1996,28,BOWLER,RHB,RIGHT ARM Fast,RCB,RCB,1,Capped,100
107,16,FA2,Tushar,Deshpande,India,15-05-1995,29,BOWLER,LHB,RIGHT ARM Fast,"DC,CSK",CSK,13,Capped,100
108,16,FA2,Lockie,Ferguson,New Zealand,13-06-1991,33,BOWLER,RHB,RIGHT ARM Fast,"RPS,GT,KKR,RCB",RCB,7,Capped,200
109,16,FA2,Bhuvneshwar,Kumar,India,05-02-1990,35,BOWLER,RHB,RIGHT ARM Fast Medium,"PWI,SRH",SRH,16,Capped,200
110,16,FA2,Mukesh,Kumar,India,12-10-1993,31,BOWLER,RHB,RIGHT ARM Fast Medium,DC,DC,10,Capped,200
111,17,SP2,Allah,Ghazanfar,Afghanistan,20-03-2006,19,BOWLER,RHB,RIGHT ARM Off Spin,KKR,KKR,0,Capped,75
112,17,SP2,Akeal,Hosein,West Indies,25-04-1993,31,BOWLER,LHB,LEFT ARM Slow Orthodox,SRH,,,Capped,150
113,17,SP2,Keshav,Maharaj,South Africa,07-02-1990,35,BOWLER,RHB,LEFT ARM Slow Orthodox,RR,RR,2,Capped,75
114,17,SP2,Mujeeb Ur,Rahman,Afghanistan,28-03-2001,24,BOWLER,RHB,RIGHT ARM Off Spin,"PBKS,SRH,KKR",,,Capped,200
115,17,SP2,Adil,Rashid,England,17-02-1988,37,BOWLER,RHB,RIGHT ARM Leg Spin,"PBKS,SRH",,,Capped,200
116,17,SP2,Vijayakanth,Viyaskanth,Sri Lanka,05-12-2001,23,BOWLER,RHB,RIGHT ARM Leg Spin,SRH,SRH,3,Capped,75
117,18,UBA2,Ricky,Bhui,India,29-09-1996,28,BATTER,RHB,,"SRH,DC",DC,2,Uncapped,30
118,18,UBA2,Swastik,Chhikara,India,03-04-2005,20,BATTER,RHB,RIGHT ARM Off Spin,DC,DC,0,Uncapped,30
119,18,UBA2,Aarya,Desai,India,03-04-2003,22,BATTER,LHB,RIGHT ARM Off Spin,KKR,,,Uncapped,30
120,18,UBA2,Shubham,Dubey,India,27-08-1994,30,BATTER,LHB,RIGHT ARM Off Spin,RR,RR,0,Uncapped,30
121,18,UBA2,Madhav,Kaushik,India,03-01-1998,27,BATTER,RHB,RIGHT ARM Off Spin,,,,Uncapped,30
122,18,UBA2,Pukhraj,Mann,India,07-06-2001,23,BATTER,LHB,RIGHT ARM Off Spin,,,,Uncapped,30
123,18,UBA2,Shaik,Rasheed,India,24-09-2004,20,BATTER,RHB,RIGHT ARM Leg Spin,CSK,CSK,0,Uncapped,30
124,18,UBA2,Himmat,Singh,India,08-11-1996,28,BATTER,RHB,RIGHT ARM Off Spin,RCB,,,Uncapped,30
125,19,UAL2,Mayank,Dagar,India,11-11-1996,28,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,"PBKS,SRH,RCB",RCB,5,Uncapped,30
126,19,UAL2,Anshul,Kamboj,India,06-12-2000,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,MI,MI,3,Uncapped,30
127,19,UAL2,Mohd. Arshad,Khan,India,20-12-1997,27,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,"MI,LSG",LSG,4,Uncapped,30
128,19,UAL2,Darshan,Nalkande,India,04-10-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,"PBKS,GT",GT,3,Uncapped,30
129,19,UAL2,Suyash,Prabhudessai,India,06-12-1997,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,RCB,RCB,11,Uncapped,30
130,19,UAL2,Anukul,Roy,India,30-11-1998,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,"MI,KKR",KKR,4,Uncapped,30
131,19,UAL2,Swapnil,Singh,India,22-01-1991,34,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,"PBKS,LSG,RCB",PBKS,7,Uncapped,30
132,19,UAL2,Sanvir,Singh,India,12-10-1996,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,SRH,SRH,4,Uncapped,30
133,20,UWK2,Avanish,Aravelly,India,02-06-2005,19,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,CSK,0,Uncapped,30
134,20,UWK2,Vansh,Bedi,India,23-12-2002,22,WICKETKEEPER,RHB,,,,,Uncapped,30
135,20,UWK2,Saurav,Chauhan,India,27-05-2000,24,WICKETKEEPER,LHB,RIGHT ARM Off Spin,RCB,RCB,3,Uncapped,30
136,20,UWK2,Harvik,Desai,India,04-10-1999,25,WICKETKEEPER,RHB,,MI,MI,0,Uncapped,30
137,20,UWK2,Tom,Kohler-Cadmore,England,19-08-1994,30,WICKETKEEPER,RHB,,RR,RR,4,Uncapped,50
138,20,UWK2,Kunal,Rathore,India,09-10-2002,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,RR,RR,0,Uncapped,30
139,20,UWK2,B.R,Sharath,India,28-09-1996,28,WICKETKEEPER,RHB,,GT,GT,1,Uncapped,30
140,21,UFA2,Gurnoor Singh,Brar,India,25-05-2000,24,BOWLER,LHB,RIGHT ARM Fast,"PBKS,GT",GT,0,Uncapped,30
141,21,UFA2,Mukesh,Choudhary,India,06-07-1996,28,BOWLER,LHB,LEFT ARM Fast,CSK,CSK,1,Uncapped,30
142,21,UFA2,Sakib,Hussain,India,14-12-2004,20,BOWLER,RHB,RIGHT ARM Fast Medium,KKR,KKR,0,Uncapped,30
143,21,UFA2,Vidwath,Kaverappa,India,25-02-1999,26,BOWLER,RHB,RIGHT ARM Fast Medium,PBKS,PBKS,1,Uncapped,30
144,21,UFA2,Rajan,Kumar,India,08-07-1996,28,BOWLER,LHB,LEFT ARM Fast,RCB,RCB,0,Uncapped,30
145,21,UFA2,Sushant,Mishra,India,23-12-2000,24,BOWLER,LHB,LEFT ARM Fast,GT,GT,0,Uncapped,30
146,21,UFA2,Arjun,Tendulkar,India,24-09-1999,25,BOWLER,LHB,LEFT ARM Fast Medium,MI,MI,1,Uncapped,30
147,22,USP2,Zeeshan,Ansari,India,16-12-1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
148,22,USP2,Prince,Choudhary,India,29-09-1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,PBKS,PBKS,0,Uncapped,30
149,22,USP2,Himanshu,Sharma,India,06-06-1998,26,BOWLER,RHB,RIGHT ARM Leg Spin,RCB,RCB,1,Uncapped,30
150,22,USP2,M.,Siddharth,India,03-07-1998,26,BOWLER,RHB,LEFT ARM Slow Orthodox,"KKR,DC,LSG",LSG,3,Uncapped,30
151,22,USP2,Digvesh,Singh,India,15-12-1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Uncapped,30
152,22,USP2,Prashant,Solanki,India,22-02-2000,25,BOWLER,RHB,RIGHT ARM Leg Spin,CSK,CSK,0,Uncapped,30
153,22,USP2,Jhathavedh,Subramanyan,India,16-09-1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,SRH,SRH,0,Uncapped,30
154,23,BA3,Finn,Allen,New Zealand,22-04-1999,25,BATTER,RHB,,RCB,,,Capped,200
155,23,BA3,Dewald,Brevis,South Africa,29-04-2003,21,BATTER,RHB,RIGHT ARM Leg Spin,MI,MI,3,Capped,75
156,23,BA3,Ben,Duckett,England,17-10-1994,30,BATTER,LHB,,,,,Capped,200
157,23,BA3,Manish,Pandey,India,10-09-1989,35,BATTER,RHB,,"MI,RCB,PWI, SRH, LSG,DC,KKR",KKR,1,Capped,75
158,23,BA3,Rilee,Rossouw,South Africa,09-10-1989,35,BATTER,LHB,,"RCB,DC,PBKS",PBKS,8,Capped,200
159,23,BA3,Sherfane,Rutherford,West Indies,15-08-1998,26,BATTER,LHB,RIGHT ARM Fast Medium,"DC,MI,RR,RCB,KKR",KKR,0,Capped,150
160,23,BA3,Ashton,Turner,Australia,25-01-1993,32,BATTER,RHB,RIGHT ARM Off Spin,"RR,LSG",LSG,2,Capped,100
161,23,BA3,James,Vince,England,14-03-1991,34,BATTER,RHB,,,,,Capped,200
162,24,AL3,Shahbaz,Ahamad,India,11-12-1994,30,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,"RCB,SRH",SRH,16,Capped,100
163,24,AL3,Moeen,Ali,England,18-06-1987,37,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,"RCB,CSK",CSK,8,Capped,200
164,24,AL3,Tim,David,Australia,16-03-1996,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,"RCB,MI",MI,13,Capped,200
165,24,AL3,Deepak,Hooda,India,19-04-1995,29,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,"RR,SRH,PBKS,LSG",LSG,11,Capped,75
166,24,AL3,Will,Jacks,England,21-11-1998,26,ALL-ROUNDER,RHB,RIGHT ARM Off Spin,RCB,RCB,8,Capped,200
167,24,AL3,Azmatullah,Omarzai,Afghanistan,24-03-2000,25,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,GT,GT,7,Capped,150
168,24,AL3,R.,Sai Kishore,India,06-11-1996,28,ALL-ROUNDER,LHB,LEFT ARM Slow Unorthodox,"CSK,GT",GT,5,Capped,75
169,24,AL3,Romario,Shepherd,West Indies,26-11-1994,30,ALL-ROUNDER,RHB,RIGHT ARM Fast,"SRH,LSG,MI",MI,6,Capped,150
170,25,WK3,Tom,Banton,England,11-11-1998,26,WICKETKEEPER,RHB,RIGHT ARM Off Spin,KKR,,,Capped,200
171,25,WK3,Sam,Billings,England,15-06-1991,33,WICKETKEEPER,RHB,,"CSK,DC,KKR",,,Capped,150
172,25,WK3,Jordan,Cox,England,21-10-2000,24,WICKETKEEPER,RHB,,,,,Capped,125
173,25,WK3,Ben,McDermott,Australia,12-12-1994,30,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,,Capped,75
174,25,WK3,Kusal,Mendis,Sri Lanka,02-02-1995,30,WICKETKEEPER,RHB,RIGHT ARM Leg Spin,,,,Capped,75
175,25,WK3,Kusal,Perera,Sri Lanka,17-08-1990,34,WICKETKEEPER,LHB,,RR,,,Capped,75
176,25,WK3,Josh,Philippe,Australia,01-06-1997,27,WICKETKEEPER,RHB,,RCB,,,Capped,75
177,25,WK3,Tim,Seifert,New Zealand,14-12-1994,30,WICKETKEEPER,RHB,,"KKR,DC",,,Capped,125
178,26,FA3,Nandre,Burger,South Africa,11-08-1995,29,BOWLER,LHB,LEFT ARM Fast,RR,RR,6,Capped,125
179,26,FA3,Spencer,Johnson,Australia,16-12-1995,29,BOWLER,LHB,LEFT ARM Fast,GT,GT,5,Capped,200
180,26,FA3,Umran,Malik,India,22-11-1999,25,BOWLER,RHB,RIGHT ARM Fast,SRH,SRH,1,Capped,75
181,26,FA3,Mustafizur,Rahman,Bangladesh,06-09-1995,29,BOWLER,LHB,LEFT ARM Fast,"SRH,MI,RR,DC,CSK",CSK,9,Capped,200
182,26,FA3,Ishant,Sharma,India,02-09-1988,36,BOWLER,RHB,RIGHT ARM Fast,"KKR,DCH,SRH,RPS,PBKS,DC",DC,9,Capped,75
183,26,FA3,Nuwan,Thushara,Sri Lanka,06-08-1994,30,BOWLER,RHB,RIGHT ARM Fast,MI,MI,7,Capped,75
184,26,FA3,Naveen,Ul Haq,Afghanistan,23-09-1999,25,BOWLER,RHB,RIGHT ARM Medium,LSG,LSG,10,Capped,200
185,26,FA3,Jaydev,Unadkat,India,18-10-1991,33,BOWLER,RHB,LEFT ARM Fast Medium,"RCB,DC,KKR,RPS,RR,MI,LSG,SRH",SRH,11,Capped,100
186,26,FA3,Umesh,Yadav,India,25-10-1987,37,BOWLER,RHB,RIGHT ARM Fast Medium,"RCB,DC,KKR,GT",GT,7,Capped,200
187,27,SP3,Rishad,Hossain,Bangladesh,15-07-2002,22,BOWLER,RHB,RIGHT ARM Leg Spin,,,,Capped,75
188,27,SP3,Zahir Khan,Pakten,Afghanistan,20-12-1998,26,BOWLER,LHB,LEFT ARM Slow Unorthodox,RR,,,Capped,75
